,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,labels,detailedType.subTypology,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished
10,97131959,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/29/e3/967344409.jpg,rrss,28,6,185000.0,flat,sale,128.0,True,3,2,"Ronda Outeiro, 130",A Coruña,A Coruña,Os Mallos,es,43.354613,-8.4103206,True,https://www.idealista.com/inmueble/97131959/,2696,"Precioso piso sexto, con ascensor, aunque cuenta con unas escaleras hasta llegar al ascensor pero hay salva escaleras. Al entrar en la vivienda cuenta con hall de entrada con armario para usar de vestidor, acceso al salón muy amplio y luminoso y del salón vamos al dormitorio principal que cuenta con su propio cuarto de baño con bañera. Cocina extra grande y de ahí pasamos a los otros dos dormitorios y al fondo del segundo dormitorio otro amplio baño también con bañera. Cuentas con amplios armarios para almacenaje. El piso cuenta con trastero en el mismo edificio y no tiene plaza de garaje. Visítalo, llámanos al 630105711.",True,good,False,True,1445.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Ronda Outeiro, 130",,,,,,,
11,97643039,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/13/0b/1008598090.jpg,,25,3,129900.0,flat,sale,100.0,True,3,2,cerca,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3530857,-8.3964819,False,https://www.idealista.com/inmueble/97643039/,2697,"Oportunidad de compra de piso exterior en los castros a pocos mins del parque de Oza. Totalmente exterior y luminoso, este piso dispone de 3 habitaciones, 1 baño completo con bañera, 1 aseo, salón comedor muy soleado, amplia cocina equipada con vitro, horno, extractor, y una galería como zona de lavadora. Calefacción y trastero El edificio dispone de video portero, y ascensor.  A pocos minutos del parque de Oza, cerca de supermercados, paradas de autobús, farmacias, gimnasios etc.",False,good,False,True,1299.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en cerca,,,,,,,
12,98017168,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0b/96/58/999083463.jpg,PV458,27,8,189000.0,flat,sale,80.0,False,3,1,Plaza de España,A Coruña,A Coruña,Ciudad Vieja - Centro,es,43.374087,-8.3957152,False,https://www.idealista.com/inmueble/98017168/,423,"Piso situado en la Plaza de España.  Tiene 90 metros cuadrados, actualmente distribuidos con tres habitaciones, un baño, salón y cocina independiente.  Termo eléctrico para el agua caliente e instalación de gas natural en el edificio.  Octava planta con ascensor.",False,renew,False,True,2363.0,True,False,False,False,False,False,flat,"Ciudad Vieja - Centro, A Coruña",Piso en Plaza de España,,,,,,,
13,96721002,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/c3/60/954674162.jpg,,47,1,150000.0,flat,sale,85.0,True,2,1,Fuente Álamo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3606056,-8.4170226,False,https://www.idealista.com/inmueble/96721002/,2383,"Esta vivienda esta situada en una de las zonas comerciales de la ciudad, con todos los servicios próximos, supermercados, bancos, farmacias, cafeterías, buses, taxis, etc.  El piso esta todo pintado en blanco, aportándole una gran luminosidad.  Sus suelos son en parquét clarito.    El salón y la cocina son espacios abiertos y amplios.  La cocina tiene todos los electrodomésticos, todo a estrenar. Dispone de: Horno, Microondas  Lavadora, Nevera, Vitrocerámica y Lavavajillas.  Los dos dormitorios tienen armarios empotrados.    El edificio son 5 alturas y dos vecinos por rellano.  Se ha puesto ascensor y arreglado las zonas comunes, sin barreras arquitectónicas.  Bonito portal.    Se pagan 50 euros de comunidad y no tiene derramas,  Visítalo sin compromiso. Este anuncio no es vinculante, puede contener errores. Se muestra a titulo informativo y no contractual.",False,good,False,True,1765.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Fuente Álamo,,,,,,,
14,97989325,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/2b/8f/997298261.jpg,VPI-ANGEL SENRA,19,2,160000.0,flat,sale,95.0,True,4,2,ANGEL SENRA,A Coruña,A Coruña,Os Mallos,es,43.3531248,-8.4083487,False,https://www.idealista.com/inmueble/97989325/,2802,"Amplio piso en venta cerca de la futura Intermodal. Piso ideal para rentabilizar como inversión o para actualizarlo y convertirlo en un hogar amplio y funcional.  En una calle peatonal, en la 2ª planta de un edificio plurifamiliar, con dos viviendas por planta. Cuenta con ascensor y el acceso al mismo es sin barreras arquitectónicas. La superficie de la vivienda es de 95 metros y está distribuida en 4 dormitorios, uno de ellos tipo habitación italiana, que linda con el salón. El baño de cortesía es muy amplio, igual que la cocina que cuenta con una amplia despensa y zona de tendedero. El otro baño se ubica en la habitación principal tipo suite. Cuenta con techos altos (3 metros) De planta rectangular, con dos estancias hacia la calle peatonal y otras dos estancias hacia patio trasero. Otra estancia da hacia patio cerrado. Llámanos y ven a visitarlo, te encantará.",False,good,False,True,1684.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña",Piso en ANGEL SENRA,,,,,,,
15,98811912,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/51/16/1029790966.jpg,5412A,21,1,150000.0,flat,sale,58.0,True,2,1,Calle Fuente Álamo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3586056,-8.4186226,False,https://www.idealista.com/inmueble/98811912/,2638,"REFORMADO EN BUEN ESTADO! 2 DORMITORIOS - ENTRE LA RONDA DE OUTEIRO Y RONDA DE NELLE. REF: 5412 Rias Altas en Calle Fuente Álamo. Vivienda reformada en Ronda de Outeiro. Distribución óptima en la que se aprovechan los espacios al máximo de una forma prácticamente milimetrada. Se distribuye en cocina americana y salón-comedor, dos dormitorios y un baño completo en pasillo. Ascensor a cota cero. Portal sin barreras arquitectónicas. Luminoso dada su orientación. La zona dispone de todos los servicios necesarios para el día a día, supermercados, farmacias, colegios, guarderías, locales de hostelería.. . En uno de las zonas con mayor crecimiento, si buscas un estilo de vida alternativo, diferenciador y rompedor, esta es la vivienda que estás buscando. Perfectamente comunicada, ya que se encuentra entre dos de las arterias principales de la ciudad tanto de entrada como de salida. No te pierdas esta excelente oportunidad y llámanos para visitar..",True,good,False,True,2586.0,True,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Calle Fuente Álamo,,,,,,,
16,97990819,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/0a/30/997339939.jpg,,27,6,169900.0,penthouse,sale,105.0,True,2,1,Borrallon,A Coruña,A Coruña,Os Mallos,es,43.3527302,-8.4105464,False,https://www.idealista.com/inmueble/97990819/,2899,"Soleado y luminoso Ático con Terraza a pocos metros de la Estación de tren en los Mallos Distribuido en 2 habitaciones muy luminosas, (la habitación principal dispone de un balcón y armario empotrado), 1 baño completo con bañera, salón - comedor, cocina equipada, cuarto de lavadora (la cocina también dispone de un balcón). Terraza y trastero.  Edificio dispone de ascensor.  Ubicación Inmejorable, zona con todos los servicios cerca, supermercados, farmacias y a pocos metros de la estación de tren.  No te pierdas esta oportunidad de compra y contáctanos.",False,good,False,True,1618.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña",Ático en Borrallon,,penthouse,,,,,
17,97642901,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/47/56/985729670.jpg,,20,3,139900.0,flat,sale,98.0,True,3,2,Ría do Burgo,A Coruña,A Coruña,Someso - Matogrande,es,43.3520587,-8.410171,False,https://www.idealista.com/inmueble/97642901/,2960,"Piso Luminoso a pocos Minutos de Ronda de Outeiro y Nuevos ministerios Piso en buen estado, exterior. Dispone de 3 habitaciones (2 con armarios), 1 baño completo y un aseo, cocina amplia y muy luminosa equipada con electrodomésticos y gas ciudad, salón. Suelo de Parquet y Trastero.  Edificio dispone de ascensor Ubicación del piso cerca de el Hotel Avenida, a pocos mins de la Est. de tren y la Est. de Autobuses, Zona de 4 caminos y corte inglés a 10 mins, además con todos los servicios y ocio cerca.",False,good,False,True,1428.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Ría do Burgo,,,,,,,
18,98671952,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/f2/61/1019981803.jpg,22/073,13,8,189000.0,flat,sale,72.0,True,2,1,Plaza de España,A Coruña,A Coruña,Ciudad Vieja - Centro,es,43.371487,-8.3948152,False,https://www.idealista.com/inmueble/98671952/,712,"Entrando en nuestra página web podrás ver la ficha técnica con todos los datos del inmueble y un plano de distribución con los metros cuadrados de cada estancia. También podrás almacenar una búsqueda y recibirás cada semana en tu email los inmuebles que se adapten a tus criterios. PLAZA ESPAÑA (MONTEALTO - ADORMIDERAS). - Se vende piso en la plaza de España. Se trata de un octavo con ascensor (hay que subir 6 escalones para acceder a él), compuesto por dos dormitorios, salón, salita, cocina y cuarto de baño. Necesita reforma. Se encuentra ubicado en una de las mejores zonas de la ciudad, muy próximo al centro y al paseo marítimo. Nuestros asesores inmobiliarios están especializados por zonas para poder darle el mejor servicio y que el inmueble que usted compre esté a un precio de mercado adecuado. Además verificamos todos los datos de los inmuebles (metros, antigüedad, calidades, etc. ) y con cada visita le entregamos una ficha (con todas las características, un plano, información de la zona y los gastos adicionales al precio de compra). Horario de 10.00 a 14.00 y de 16.00 a 20.00 de lunes a viernes. Este anuncio no es vinculante (puede contener errores). Se muestra a título informativo y no contractual.",False,renew,False,True,2625.0,True,False,False,False,False,False,flat,"Ciudad Vieja - Centro, A Coruña",Piso en Plaza de España,,,,,,,
19,98548994,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/a3/5f/1016031199.jpg,,13,5,165000.0,flat,sale,90.0,True,3,2,barrio Falperra-Santa Lucía,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3594232,-8.4108578,False,https://www.idealista.com/inmueble/98548994/,2223,"Os presentamos esta céntrica y soleada vivienda de tres habitaciones todo exterior con ascensor.  Gran recibidor, amplia cocina luminosa con balcón, habitación para cama individual y armario empotrado. Sigue un práctico espacio de lavandería y almacenaje que podría convertirse en un segundo baño. Justo al lado tenemos el baño completo.   La vivienda cuenta con un amplio salón con grandes ventanales y muy luminoso. Una espaciosa habitación junto al salón, así como un dormitorio doble con mucha luz y espacio para almacenaje.  Además, el edificio dispone de ascensor recientemente instalado y con portal totalmente reformado y SIN BARRERAS ARQUITECTÓNICAS. En cuanto a la zona, se encuentra a dos pasos de Juan Flórez, del parque de Santa Margarita y de todos los servicios alrededor, sin necesidad de utilizar el coche para ningún tipo de actividad. Para más información o para concertar una cita, le atendemos en nuestra oficina, ubicada en Av de Oza 48. Características básicas  90 m² construidos  3 habitaciones  2 baños  Segunda mano/buen estado  Armarios empotrados  Orientación sur  Calefacción individual: Gas Certificación energética: (100 kWh/m² año)  Acceso adaptado a personas con movilidad reducida.",False,good,False,True,1833.0,True,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Piso,,,Falperra-Santa Lucía,,,,
